Time_sec,TDS_raw,Turbidity_raw,Flow_L_min
264,1183,1623,1.20
265,1195,1628,1.07
266,1186,1622,1.20
267,1178,1616,1.07
268,1186,1620,1.07
269,1185,1618,1.07
270,1224,1615,1.20
271,1218,1616,1.07
272,1219,1613,1.20
273,1192,1631,1.07
274,1183,1623,1.20
275,1197,1631,1.07
276,1186,1616,1.20
277,1205,1618,1.07
278,1181,1633,1.20
279,1198,1626,1.07
280,1195,1634,1.20
281,1201,1623,1.20
282,1187,1626,1.07
283,1166,1643,1.20
284,1174,1633,1.07
285,1191,1620,1.20
286,1156,1637,1.20
287,1152,1631,1.07
288,1158,1627,1.20
289,1156,1637,1.07
290,1158,1629,1.20
291,1153,1638,1.07
292,1149,1643,1.20
293,1150,1635,1.07
294,1139,1639,1.20
295,1139,1638,1.07
296,1154,1619,1.20
297,1125,1645,1.07
298,1118,1638,1.20
299,1104,1643,1.07
300,1113,1639,1.07
301,1130,1637,1.20
302,1115,1634,1.20
303,1113,1646,1.07
304,1119,1643,1.20
305,1104,1641,1.20
306,1094,1646,1.07
307,1103,1633,1.20
308,1086,1648,1.07
309,1072,1655,1.20
310,1094,1648,1.07
311,1098,1649,1.20
312,1082,1667,1.20
313,1093,1654,1.20
314,1104,1645,1.07
315,1086,1659,1.20
316,1093,1645,1.20
317,1088,1649,1.20
318,1093,1648,1.20
319,1094,1650,1.20
320,1081,1651,1.20
321,1088,1649,1.07
322,1088,1651,1.20
323,1072,1655,1.20
324,1087,1658,1.07
325,1091,1647,1.20
326,1094,1659,1.20
327,1096,1654,1.20
328,1094,1649,1.20
329,1091,1648,1.20
330,1085,1648,1.20
331,1063,1659,1.07
332,1097,1652,1.20
333,1104,1635,1.20
334,1086,1666,1.20
335,1060,1667,1.20
336,1063,1669,1.20
337,1049,1664,1.20
338,1079,1662,1.07
339,1078,1662,1.20
340,1067,1663,1.20
341,1073,1662,1.20
342,1084,1655,1.20
343,1056,1675,1.20
344,1042,1674,1.20
345,1039,1667,1.07
346,1036,1669,1.20
347,1067,1661,1.07
348,1059,1662,1.20
349,1062,1665,1.20
350,1045,1672,1.07
351,1034,1679,1.20
352,1051,1677,1.20
353,1042,1661,1.20
354,1011,1681,1.20
355,1011,1679,1.07
356,1057,1665,1.20
357,924,1718,1.07
358,915,1721,0.93
359,862,1744,0.93
360,839,1775,0.67
361,817,1779,0.80
362,821,1790,0.80
363,833,1808,0.80
364,844,1835,0.80
