Time_sec,TDS_raw,Turbidity_raw,Flow_L_min
285,965,2766,0.13
286,962,2672,0.13
287,965,2704,0.13
288,962,2723,0.13
289,974,2732,0.13
290,961,2734,0.00
291,957,2735,0.00
292,964,2736,0.00
293,964,2729,0.00
294,967,2667,0.00
295,957,2735,0.13
296,958,2704,0.00
297,959,3036,0.13
298,965,2975,0.00
299,955,2783,0.13
300,960,2833,0.13
301,961,2756,0.13
302,959,2825,0.13
303,975,2812,0.00
304,961,2832,0.13
305,964,2816,0.13
306,958,2833,0.00
307,963,2500,0.13
308,964,2810,0.13
309,954,2821,0.00
310,961,2831,0.13
311,962,2830,0.13
312,960,2832,0.00
313,965,2832,0.00
314,956,2829,0.00
315,963,2840,0.00
316,959,2831,0.00
317,965,2661,0.00
318,960,2710,0.13
319,965,2736,0.13
320,958,2737,0.13
321,969,2735,0.00
322,956,2734,0.00
323,957,2737,0.00
324,959,2731,0.13
325,955,2731,0.13
326,956,2690,0.00
327,959,2699,0.13
328,951,2699,0.00
329,965,2368,0.13
330,965,2431,0.13
331,951,2448,0.13
332,962,2430,0.00
333,960,2422,0.13
334,960,2475,0.13
335,957,2470,0.13
336,963,2425,0.00
337,957,2351,0.13
338,957,2250,0.00
339,957,2310,0.13
340,965,2303,0.00
341,951,2318,0.13
342,953,2585,0.13
343,965,2621,0.00
344,961,2635,0.13
345,955,2630,0.00
346,954,2538,0.00
347,953,2528,0.13
348,950,2539,0.00
349,963,2533,0.13
350,961,1937,0.13
351,965,2002,0.00
352,962,2066,0.00
353,957,2090,0.00
354,957,2135,0.00
355,967,2117,0.00
356,954,2100,0.00
357,961,2007,0.00
358,957,2054,0.00
359,956,2061,0.00
360,953,2063,0.00
361,966,2134,0.00
362,959,2130,0.00
363,955,2131,0.00
364,957,2145,0.00
365,958,2178,0.00
366,960,2194,0.00
367,953,2337,0.00
368,957,2334,0.00
369,962,2199,0.00
370,960,2203,0.00
371,953,2263,0.00
372,962,2198,0.00
373,959,2307,0.00
374,962,2321,0.00
375,955,2198,0.00
376,947,2365,0.00
377,953,2439,0.00
378,956,2479,0.00
379,954,2511,0.00
380,954,2583,0.00
381,949,2608,0.00
382,954,2741,0.00
383,950,2761,0.00
384,946,2765,0.00
385,946,2736,0.00
386,944,2722,0.00
387,943,2762,0.00
388,940,2549,0.00
389,940,2633,0.00
390,939,2629,0.00
391,943,2559,0.00
392,945,2559,0.00
393,950,2559,0.00
394,950,2552,0.00
395,945,2559,0.13
396,947,2556,0.00
397,950,2559,0.00
398,946,2559,0.00
399,955,2559,0.00
400,947,2559,0.00
401,950,2608,0.00
402,949,2472,0.00
403,949,2259,0.00
404,955,2295,0.00
405,955,2247,0.00
406,959,1776,0.00
407,960,1763,0.00
408,949,1748,0.00
409,944,1680,0.00
410,953,1733,0.00
411,914,1712,0.00
412,1006,1713,0.00
413,997,1731,0.13
414,987,1712,0.00
415,981,1708,0.00
416,977,1709,0.00
417,1185,1723,0.00
418,1179,1719,0.00
419,1172,1728,0.13
420,1199,1730,0.00
421,1211,1728,0.00
422,959,1698,0.00
423,944,1735,0.00
424,927,1712,0.00
425,912,1706,0.00
426,875,1715,0.00
427,919,1680,0.00
428,917,1723,0.00
429,945,1729,0.13
430,923,1709,0.00
431,928,1725,0.00
432,930,1724,0.00
433,938,1726,0.13
434,949,1726,0.13
435,1137,1727,0.00
436,983,1717,0.13
437,944,1734,0.00
438,973,1725,0.13
439,943,1727,0.00
440,934,1729,0.13
441,942,1719,0.00
442,1297,1658,0.00
443,1171,1727,0.00
444,969,1729,0.00
445,979,1725,0.00
446,933,1715,0.13
447,940,1701,0.00
448,953,1560,0.00
449,963,1491,0.00
450,1072,1509,0.00
451,1047,1454,0.00
452,1049,1439,0.13
453,1047,1468,0.00
454,1040,1423,0.00
455,1044,1436,0.13
456,1040,1466,0.00
457,1039,1452,0.00
458,1041,1463,0.00
459,1040,1429,0.13
460,1046,1408,0.00
461,1041,1434,0.00
462,1061,1447,0.13
463,1060,1456,0.00
464,1051,1502,0.00
465,1168,1493,0.13
466,958,1661,0.00
467,958,1680,0.00
468,926,1682,0.00
469,926,1695,0.00
470,919,1696,0.00
471,914,1685,0.00
472,938,1707,0.00
473,912,1703,0.13
474,912,1702,0.00
475,912,1698,0.00
476,909,1704,0.00
477,912,1702,0.13
478,918,1702,0.00
479,911,1701,0.27
480,912,1705,0.13
481,912,1702,0.27
482,913,1699,0.13
483,913,1703,0.13
484,910,1710,0.13
485,908,1714,0.13
486,907,1708,0.13
487,901,1703,0.13
488,902,1717,0.13
489,912,1712,0.13
490,905,1712,0.27
491,907,1712,0.13
492,906,1718,0.13
493,906,1715,0.27
494,911,1717,0.13
495,907,1715,0.13
496,906,1706,0.27
497,907,1707,0.13
498,907,1699,0.13
499,906,1701,0.13
500,900,1705,0.27
501,897,1705,0.13
502,903,1697,0.13
503,903,1704,0.27
504,900,1712,0.13
505,902,1708,0.27
506,906,1706,0.13
507,896,1706,0.13
508,907,1703,0.13
509,899,1707,0.13
510,901,1708,0.13
511,897,1709,0.13
512,894,1703,0.27
513,899,1699,0.13
514,893,1709,0.13
515,897,1706,0.13
516,896,1717,0.13
517,895,1712,0.27
518,893,1714,0.13
519,899,1711,0.13
520,899,1705,0.13
521,897,1706,0.13
522,887,1707,0.13
523,897,1708,0.27
524,895,1704,0.13
525,896,1703,0.13
526,891,1704,0.13
527,901,1705,0.13
528,898,1700,0.13
529,893,1709,0.13
530,896,1706,0.27
531,902,1699,0.13
532,897,1706,0.13
533,894,1700,0.13
534,889,1706,0.13
535,896,1701,0.13
536,896,1705,0.13
537,894,1710,0.13
538,896,1707,0.13
539,895,1702,0.27
540,893,1707,0.13
541,889,1712,0.13
542,893,1712,0.13
543,891,1703,0.13
544,891,1712,0.13
545,894,1712,0.13
546,887,1710,0.13
547,896,1709,0.13
548,893,1711,0.13
549,894,1713,0.13
550,890,1712,0.27
551,891,1714,0.13
552,889,1712,0.13
553,883,1707,0.13
554,892,1712,0.13
555,892,1712,0.13
556,887,1707,0.13
557,880,1711,0.13
558,896,1712,0.13
559,887,1702,0.13
560,879,1710,0.13
561,889,1711,0.13
562,887,1708,0.13
563,889,1715,0.13
564,885,1712,0.13
565,885,1712,0.13
566,875,1722,0.13
567,895,1712,0.27
568,887,1719,0.00
569,891,1714,0.13
570,885,1712,0.13
571,887,1718,0.13
572,891,1709,0.13
573,891,1712,0.27
574,886,1707,0.13
575,894,1722,0.13
576,882,1710,0.13
577,893,1710,0.13
578,886,1710,0.13
579,890,1710,0.13
580,889,1706,0.13
581,895,1710,0.13
582,885,1705,0.13
583,889,1706,0.13
584,894,1701,0.13
585,893,1703,0.13
586,880,1705,0.13
587,881,1703,0.13
588,925,1699,0.13
589,134,1707,0.13
590,1104,1696,0.13
591,1130,1696,0.13
592,1152,1669,0.13
593,1328,1535,0.13
594,1344,1461,0.13
595,1351,1590,0.13
596,1355,1503,0.13
597,1354,1457,0.13
598,1349,1435,0.13
599,1349,1445,0.13
600,1347,1571,0.13
601,1347,1574,0.13
602,1350,1573,0.13
603,1350,1563,0.13
604,1353,1535,0.13
605,1337,1519,0.13
606,1351,1440,0.13
607,1349,1458,0.27
608,1339,1471,0.13
609,1338,1445,0.13
610,1341,1488,0.13
611,1357,1571,0.13
612,1231,1611,0.13
613,1104,1680,0.13
614,1098,1697,0.13
615,1102,1691,0.13
616,1101,1697,0.00
617,1104,1696,0.13
618,1114,1698,0.13
619,1104,1698,0.00



