Time_sec,TDS_raw,Turbidity_raw,Flow_L_min
264,1323,1738,1.33
265,1320,1723,1.47
266,1318,1730,1.33
267,1350,1738,1.33
268,1307,1754,1.33
269,1325,1744,1.33
270,1265,1744,1.33
271,1285,1741,1.33
272,1280,1731,1.33
273,1301,1737,1.33
274,1340,1735,1.33
275,1303,1751,1.47
276,1279,1754,1.33
277,1289,1743,1.33
278,1279,1746,1.33
279,1279,1750,1.20
280,1254,1743,1.33
281,1262,1751,1.33
282,1309,1750,1.33
283,1275,1747,1.47
284,1222,1757,1.33
285,1211,1745,1.33
286,1216,1748,1.33
287,1229,1741,1.33
288,1215,1744,1.47
289,1275,1741,1.33
290,1264,1744,1.33
291,1310,1739,1.33
292,1243,1747,1.33
293,1207,1744,1.33
294,1214,1743,1.33
295,1210,1741,1.33
296,1238,1731,1.33
297,1245,1731,1.47
298,1248,1740,1.33
299,1238,1744,1.33
300,1214,1745,1.33
301,1188,1745,1.33
302,1183,1740,1.47
303,1184,1737,1.33
304,1194,1732,1.33
305,1187,1744,1.33
306,1198,1744,1.33
307,1221,1744,1.47
308,1181,1744,1.33
309,1168,1739,1.47
310,1152,1743,1.33
311,1158,1730,1.33
312,1183,1728,1.47
313,1212,1732,1.33
314,1217,1733,1.33
315,1216,1745,1.33
316,1190,1742,1.47
317,1159,1744,1.33
318,1155,1734,1.33
319,1147,1743,1.47
320,1158,1740,1.20
321,1240,1724,1.33
322,1194,1744,1.47
323,1201,1743,1.33
324,1155,1742,1.33
325,1171,1728,1.33
326,1158,1731,1.33
327,1169,1723,1.33
328,1175,1734,1.33
329,1272,1724,1.47
330,1214,1735,1.33
331,1168,1738,1.33
332,1120,1743,1.33
333,1152,1733,1.33
334,1152,1734,1.47
335,1153,1725,1.33
336,1194,1744,1.33
337,1185,1743,1.33
338,1179,1745,1.33
339,1133,1741,1.33
340,1135,1744,1.33
341,1122,1729,1.47
342,1153,1730,1.33
343,1142,1734,1.33
344,1167,1735,1.33
345,1179,1745,1.47
346,1152,1757,1.33
347,1107,1750,1.33
348,1097,1745,1.33
349,1116,1741,1.33
350,1122,1743,1.47
351,1160,1746,1.33
352,1158,1745,1.33
353,1155,1755,1.33
354,1121,1751,1.33
355,1119,1745,1.33
356,1083,1751,1.20
357,1122,1741,1.33
358,1136,1754,1.33
359,1159,1757,1.47
360,1117,1761,1.33
361,1093,1748,1.33
362,1102,1748,1.33
363,1104,1747,1.20
364,1120,1745,1.33
365,1121,1744,1.33
366,1167,1749,1.33
367,1094,1758,1.33
368,1059,1751,1.33
369,1054,1747,1.33
370,1057,1744,1.33
371,1081,1742,1.33
372,1078,1744,1.33
373,1057,1756,1.33
374,1053,1757,1.33
375,1001,1765,1.33
376,1007,1755,1.33
377,1009,1756,1.33
378,1020,1754,1.33
379,1022,1752,1.33
380,1057,1755,1.33
381,1071,1762,1.33
382,1008,1769,1.33
383,1008,1763,1.33
384,1009,1756,1.33
385,1007,1766,1.33
386,1017,1749,1.47
387,1034,1749,1.33
388,1015,1749,1.33
389,1067,1759,1.33
390,1049,1762,1.33
391,966,1759,1.33
392,1019,1755,1.33
393,967,1759,1.33
394,1018,1738,1.33
395,1022,1747,1.33
396,1013,1748,1.33
397,1012,1755,1.33
398,995,1760,1.33
399,999,1744,1.33
400,974,1743,1.33
401,991,1741,1.33
402,1015,1737,1.33
403,1037,1744,1.33
404,1008,1751,1.33
405,973,1750,1.33
406,973,1745,1.33
407,963,1745,1.33
408,976,1744,1.33
409,1023,1744,1.33
410,1023,1743,1.33
411,1034,1748,1.33
412,1011,1749,1.33
413,963,1751,1.33
414,991,1737,1.33
415,970,1744,1.47
416,997,1731,1.33
417,1003,1743,1.33
418,1044,1743,1.33
419,1023,1748,1.33
420,981,1744,1.47
421,949,1741,1.33
422,974,1733,1.33
423,977,1729,1.47
424,994,1738,1.33
425,1021,1735,1.47
426,1014,1738,1.33
427,972,1744,1.33
428,969,1730,1.33
429,959,1728,1.33
430,976,1722,1.33
431,995,1738,1.33
432,989,1738,1.33
433,1023,1728,1.33
434,949,1734,1.33
435,951,1725,1.33
436,957,1731,1.33
437,1015,1719,1.33
438,1022,1725,1.33
439,976,1744,1.33
440,983,1731,1.33
441,977,1727,1.33
442,971,1737,1.33
443,994,1729,1.33
444,1011,1741,1.33
445,957,1747,1.33
446,966,1739,1.33
447,957,1730,1.33
448,951,1726,1.33
449,997,1727,1.33
450,1019,1728,1.33
451,869,1757,1.20
452,882,1744,1.20
453,939,1734,1.33
454,953,1722,1.33
455,978,1741,1.33
456,979,1740,1.33
457,928,1750,1.33
458,933,1738,1.33
459,912,1729,1.33
460,939,1732,1.33
461,981,1723,1.33
462,993,1737,1.33
463,954,1734,1.33
464,923,1740,1.20
465,935,1726,1.33
466,933,1719,1.33
467,972,1723,1.33
468,961,1742,1.33
469,967,1737,1.33
470,911,1728,1.47
471,959,1717,1.33
472,935,1718,1.33
473,988,1715,1.33
474,977,1721,1.20
475,969,1725,1.33
476,957,1717,1.33
477,933,1719,1.33
478,941,1719,1.33
479,984,1712,1.33
480,954,1733,1.20
481,939,1723,1.33
482,946,1716,1.33
483,944,1712,1.33
484,959,1712,1.33
485,986,1712,1.33
486,972,1721,1.20
487,963,1718,1.33
488,934,1705,1.33
489,934,1709,1.33
490,951,1707,1.33
491,978,1712,1.33
492,980,1717,1.33
493,967,1712,1.33
494,947,1718,1.33
495,941,1690,1.33
496,966,1702,1.33
497,993,1713,1.33
498,982,1727,1.33
499,961,1715,1.20
500,938,1714,1.33
501,940,1707,1.47
502,973,1702,1.33
503,1007,1709,1.33
504,989,1710,1.20
505,931,1714,1.33
506,932,1702,1.33
507,934,1711,1.33
508,977,1696,1.33
509,981,1701,1.33
510,978,1723,1.33
511,931,1709,1.33
512,927,1708,1.33
513,927,1712,1.33
514,944,1713,1.33
515,979,1716,1.33
516,944,1719,1.33
517,919,1714,1.33
518,941,1710,1.33
519,931,1711,1.33
520,956,1714,1.33
521,974,1716,1.33
522,935,1718,1.33
523,863,1719,1.33
524,909,1710,1.33
525,926,1714,1.33
526,983,1699,1.20
527,963,1721,1.33
528,943,1719,1.33
529,914,1713,1.33
530,924,1711,1.33
531,942,1703,1.33
532,943,1711,1.33
533,968,1698,1.33
534,924,1715,1.33
535,914,1712,1.20
536,901,1710,1.47
537,918,1702,1.33
